customer_id,source,username,region,device,app_version,timestamp,rating,sentiment,review_text,theme,severity,strategic_goal,helpful_votes,feedback_text,author_handle,source_channel,account_name,account_type,contact_role,deal_stage,note_type,product_area,note_text,ARR_impact_estimate_USD,requested_feature,blocker,next_step,handle,followers,verified,tweet_text,likes,retweets,reply_count,source_weight,impact_score
IOS-001,iOS App Store,ios_0ifd0tvb,US-NY,iPhone 13,11.2.1,2025-06-23 19:01:00,4.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,Onboarding/KYC & Account Holds,0.28,Compliance,17.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_0ifd0tvb,iOS App Store,,,,,,,,,,,,,,,,,,,5.7,0.3192
IOS-002,iOS App Store,ios_zmf8mdd4,CA,iPhone 14,11.2.0,2025-06-11 17:07:00,5.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,Trading/Execution & Fees,0.54,Growth,23.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_zmf8mdd4,iOS App Store,,,,,,,,,,,,,,,,,,,7.3,0.7884
IOS-003,iOS App Store,ios_zbikcidk,AU,iPhone 14,11.2.1,2025-05-19 11:13:00,5.0,positive,Alerting + TradingView charts make decisions faster for me.,Support Experience,0.59,CX Efficiency,34.0,Alerting + TradingView charts make decisions faster for me.,ios_zbikcidk,iOS App Store,,,,,,,,,,,,,,,,,,,8.4,0.9912
IOS-004,iOS App Store,ios_qj7yhl1c,BR,iPhone 12,11.3.0,2025-05-27 08:04:00,4.0,positive,Advanced UI is clean; limit and stop orders work exactly as expected.,Trading/Execution & Fees,0.27,Growth,25.0,Advanced UI is clean; limit and stop orders work exactly as expected.,ios_qj7yhl1c,iOS App Store,,,,,,,,,,,,,,,,,,,6.5,0.351
IOS-005,iOS App Store,ios_jiujv6oh,US-TX,iPad Pro,11.3.1,2025-03-09 01:55:00,4.0,positive,Great upgrade from Pro; same power inside the main app.,Trading/Execution & Fees,0.6,Growth,38.0,Great upgrade from Pro; same power inside the main app.,ios_jiujv6oh,iOS App Store,,,,,,,,,,,,,,,,,,,7.8,0.936
IOS-006,iOS App Store,ios_n9t84azy,EU-ES,iPhone 14,11.3.0,2025-03-14 09:27:00,4.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,Product Availability by Region,0.1,Growth,32.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_n9t84azy,iOS App Store,,,,,,,,,,,,,,,,,,,7.2,0.144
IOS-007,iOS App Store,ios_65kxvf1t,JP,iPad Pro,11.2.0,2025-07-17 10:31:00,4.0,positive,Advanced UI is clean; limit and stop orders work exactly as expected.,Performance/Outages,0.84,Trust&Safety,15.0,Advanced UI is clean; limit and stop orders work exactly as expected.,ios_65kxvf1t,iOS App Store,,,,,,,,,,,,,,,,,,,5.5,0.924
IOS-008,iOS App Store,ios_58drc11e,EU-FR,iPad Pro,11.2.1,2025-04-22 16:55:00,5.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,Support Experience,0.84,CX Efficiency,45.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_58drc11e,iOS App Store,,,,,,,,,,,,,,,,,,,9.5,1.596
IOS-009,iOS App Store,ios_oyn6qica,EU-ES,iPhone 13,11.4.0,2025-04-11 00:04:00,4.0,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.15,Growth,21.0,Fast fills on BTC/ETH; fees are clear on the receipt.,ios_oyn6qica,iOS App Store,,,,,,,,,,,,,,,,,,,6.1,0.183
IOS-010,iOS App Store,ios_iyhe7ur2,JP,iPhone 15,11.2.1,2025-03-10 03:42:00,5.0,positive,Loving Advanced Trade—depth charts and order book are spot on.,Performance/Outages,0.44,Trust&Safety,46.0,Loving Advanced Trade—depth charts and order book are spot on.,ios_iyhe7ur2,iOS App Store,,,,,,,,,,,,,,,,,,,9.6,0.8448
