feedback_id,source_channel,timestamp,feedback_text,source_metric,is_relevant,sentiment_score,theme,strategic_goal
apple-IOS-001,Apple App Store,2025-06-23 19:01:00,Loving Advanced Trade—depth charts and order book are spot on.,17,True,0.7,Onboarding/KYC & Account Holds,Compliance
apple-IOS-002,Apple App Store,2025-06-11 17:07:00,Loving Advanced Trade—depth charts and order book are spot on.,23,True,0.7,Trading/Execution & Fees,Growth
apple-IOS-003,Apple App Store,2025-05-19 11:13:00,Alerting + TradingView charts make decisions faster for me.,34,True,0.7,Support Experience,CX Efficiency
apple-IOS-004,Apple App Store,2025-05-27 08:04:00,Advanced UI is clean; limit and stop orders work exactly as expected.,25,True,0.7,Trading/Execution & Fees,Growth
apple-IOS-005,Apple App Store,2025-03-09 01:55:00,Great upgrade from Pro; same power inside the main app.,38,True,0.7,Trading/Execution & Fees,Growth
apple-IOS-006,Apple App Store,2025-03-14 09:27:00,Loving Advanced Trade—depth charts and order book are spot on.,32,True,0.7,Product Availability by Region,Growth
apple-IOS-007,Apple App Store,2025-07-17 10:31:00,Advanced UI is clean; limit and stop orders work exactly as expected.,15,True,0.7,Performance/Outages,Trust&Safety
apple-IOS-008,Apple App Store,2025-04-22 16:55:00,Loving Advanced Trade—depth charts and order book are spot on.,45,True,0.7,Support Experience,CX Efficiency
apple-IOS-009,Apple App Store,2025-04-11 00:04:00,Fast fills on BTC/ETH; fees are clear on the receipt.,21,True,0.7,Trading/Execution & Fees,Growth
apple-IOS-010,Apple App Store,2025-03-10 03:42:00,Loving Advanced Trade—depth charts and order book are spot on.,46,True,0.7,Performance/Outages,Trust&Safety
apple-IOS-011,Apple App Store,2025-06-07 17:06:00,Loving Advanced Trade—depth charts and order book are spot on.,10,True,0.7,"Payments, Deposits & Withdrawals",CX Efficiency
apple-IOS-012,Apple App Store,2025-08-02 22:31:00,Great upgrade from Pro; same power inside the main app.,37,True,0.7,Tax Docs & Reporting,Compliance
apple-IOS-013,Apple App Store,2025-03-03 21:55:00,Alerting + TradingView charts make decisions faster for me.,15,True,0.7,Onboarding/KYC & Account Holds,Compliance
apple-IOS-014,Apple App Store,2025-06-11 10:59:00,Alerting + TradingView charts make decisions faster for me.,6,True,0.7,Onboarding/KYC & Account Holds,Compliance
apple-IOS-015,Apple App Store,2025-07-31 16:00:00,Loving Advanced Trade—depth charts and order book are spot on.,16,True,0.7,Performance/Outages,Trust&Safety
apple-IOS-016,Apple App Store,2025-07-26 13:53:00,Loving Advanced Trade—depth charts and order book are spot on.,40,True,0.7,"Payments, Deposits & Withdrawals",CX Efficiency
apple-IOS-017,Apple App Store,2025-07-05 04:27:00,Fast fills on BTC/ETH; fees are clear on the receipt.,22,True,0.7,Trading/Execution & Fees,Growth
apple-IOS-018,Apple App Store,2025-05-30 00:11:00,App froze during a volatile move; missed my entry.,17,True,-0.8,Performance/Outages,Trust&Safety
apple-IOS-019,Apple App Store,2025-02-20 21:12:00,App froze during a volatile move; missed my entry.,49,True,-0.8,Performance/Outages,Trust&Safety
apple-IOS-020,Apple App Store,2025-03-13 19:27:00,Account recheck blocked withdrawals longer than expected.,7,True,-0.8,Onboarding/KYC & Account Holds,Compliance
apple-IOS-021,Apple App Store,2025-05-18 13:04:00,Support bounced me between channels; no clear resolution path.,46,True,-0.8,Support Experience,CX Efficiency
apple-IOS-022,Apple App Store,2025-07-09 09:25:00,Account recheck blocked withdrawals longer than expected.,50,True,-0.8,Onboarding/KYC & Account Holds,Compliance
apple-IOS-023,Apple App Store,2025-06-25 21:40:00,Gas/fee estimates confusing for first on-chain transfer.,43,True,-0.8,Wallet & On-chain UX,Onchain Adoption
apple-IOS-024,Apple App Store,2025-08-11 12:31:00,Account recheck blocked withdrawals longer than expected.,48,True,-0.8,Onboarding/KYC & Account Holds,Compliance
apple-IOS-025,Apple App Store,2025-07-07 19:20:00,Price execution feels off vs reference; need clearer spread breakdown.,28,True,-0.8,Trading/Execution & Fees,Growth
apple-IOS-026,Apple App Store,2025-04-28 07:17:00,App froze during a volatile move; missed my entry.,8,True,-0.8,Performance/Outages,Trust&Safety
apple-IOS-027,Apple App Store,2025-08-11 00:54:00,App froze during a volatile move; missed my entry.,19,True,-0.8,Performance/Outages,Trust&Safety
apple-IOS-028,Apple App Store,2025-05-24 10:42:00,Support bounced me between channels; no clear resolution path.,39,True,-0.8,Support Experience,CX Efficiency
