customer_id,source,username,region,device,app_version,timestamp,rating,sentiment,review_text,theme,severity,strategic_goal,helpful_votes
GP-001,Google Play Store,and_yfpmvxpj,BR,Pixel 8,11.2.1,2025-05-23T15:06:00,4,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.56,Growth,18
GP-002,Google Play Store,and_a3oa5296,SG,Galaxy S22,11.3.0,2025-04-13T19:51:00,5,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.61,Growth,16
GP-003,Google Play Store,and_6xlpu0dk,SG,Galaxy S22,11.2.1,2025-04-06T04:50:00,5,positive,Advanced UI is clean; limit and stop orders work exactly as expected.,"Payments, Deposits & Withdrawals",0.76,CX Efficiency,30
GP-004,Google Play Store,and_0me8f840,EU-DE,Nothing Phone 2,11.4.0,2025-05-18T02:50:00,5,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.31,Growth,29
GP-005,Google Play Store,and_yyv37dia,IN,Galaxy S23,11.3.0,2025-07-20T07:41:00,4,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.83,Growth,41
GP-006,Google Play Store,and_f8krd5eq,AU,OnePlus 11,11.4.0,2025-06-01T18:47:00,4,positive,Great upgrade from Pro; same power inside the main app.,"Payments, Deposits & Withdrawals",0.62,CX Efficiency,39
GP-007,Google Play Store,and_bnp84dyt,AU,Pixel 8,11.2.0,2025-05-26T08:12:00,4,positive,Great upgrade from Pro; same power inside the main app.,Wallet & On-chain UX,0.17,Onchain Adoption,41
GP-008,Google Play Store,and_bm92h3tv,BR,Nothing Phone 2,11.2.1,2025-05-09T04:50:00,4,positive,Alerting + TradingView charts make decisions faster for me.,Onboarding/KYC & Account Holds,0.79,Compliance,8
GP-009,Google Play Store,and_2d5em2va,US-IL,Pixel 6,11.2.1,2025-06-01T16:07:00,4,positive,Alerting + TradingView charts make decisions faster for me.,Wallet & On-chain UX,0.46,Onchain Adoption,32
GP-010,Google Play Store,and_qhw06xkx,US-CA,Pixel 6,11.3.1,2025-05-27T13:43:00,4,positive,Alerting + TradingView charts make decisions faster for me.,"Payments, Deposits & Withdrawals",0.67,CX Efficiency,4
GP-011,Google Play Store,and_vcjwtl9t,EU-FR,Galaxy S23,11.4.0,2025-06-04T03:50:00,4,positive,Loving Advanced Trade—depth charts and order book are spot on.,"Security, Fraud & Phishing",0.44,Trust&Safety,26
GP-012,Google Play Store,and_3o0llj8y,EU-FR,Pixel 6,11.2.0,2025-03-07T02:27:00,4,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.75,Growth,3
GP-013,Google Play Store,and_uyo57p6b,US-IL,Galaxy S23,11.3.0,2025-05-15T03:36:00,4,positive,Alerting + TradingView charts make decisions faster for me.,Performance/Outages,0.63,Trust&Safety,6
GP-014,Google Play Store,and_4n1u3493,CA,OnePlus 11,11.4.0,2025-02-20T19:59:00,5,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.24,Growth,21
GP-015,Google Play Store,and_a5uofwb0,US-FL,Galaxy S22,11.3.1,2025-06-10T10:10:00,5,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.68,Growth,38
GP-016,Google Play Store,and_f1bcppvo,US-FL,Nothing Phone 2,11.4.0,2025-03-15T11:27:00,4,positive,Loving Advanced Trade—depth charts and order book are spot on.,Onboarding/KYC & Account Holds,0.64,Compliance,31
GP-017,Google Play Store,and_bovakhej,UK,Pixel 6,11.2.0,2025-06-21T23:27:00,4,positive,Alerting + TradingView charts make decisions faster for me.,Wallet & On-chain UX,0.4,Onchain Adoption,32
GP-018,Google Play Store,and_43c5ba75,CA,Galaxy S22,11.4.0,2025-05-28T22:40:00,2,negative,Gas/fee estimates confusing for first on-chain transfer.,Wallet & On-chain UX,0.19,Onchain Adoption,20
